h_fare,h_tips,h_tolls,h_extras,h_total,h_n,comp_name_top10,mop,day,hour,month,weekday,year
11695.98,3,50,498.6,12247.58,579,unknown,Cash,2,1,1,5,2016
4134.44,914.66,0,328.5,5377.6,368,unknown,"Credit Card",2,1,1,5,2016
111.45,21.78,0,0,133.23,3,unknown,otro,2,1,1,5,2016
18990.3,2,150,387.35,19529.65,506,unknown,Cash,2,2,1,5,2016
3539.7,827.23,0,319,4685.93,337,unknown,"Credit Card",2,2,1,5,2016
10.05,2.01,0,0,12.06,1,unknown,otro,2,2,1,5,2016
22257.24,6.13,150,225.65,22639.02,335,unknown,Cash,2,3,1,5,2016
2645.68,576.43,0,216,3438.11,242,unknown,"Credit Card",2,3,1,5,2016
28.1,0,0,0,28.1,2,unknown,otro,2,3,1,5,2016
13194.71,2,100,114.25,13410.96,179,unknown,Cash,2,4,1,5,2016
1157.83,272.07,0,106.5,1536.4,102,unknown,"Credit Card",2,4,1,5,2016
2128.81,0,0,95.5,2224.31,149,unknown,Cash,2,5,1,5,2016
1046.9,197.83,1.9,53,1299.63,53,unknown,"Credit Card",2,5,1,5,2016
1928.94,0,0,89,2017.94,113,unknown,Cash,2,6,1,5,2016
1518.5,251.3,1,69.75,1840.55,64,unknown,"Credit Card",2,6,1,5,2016
1907.69,0,0,67.25,1974.94,134,unknown,Cash,2,7,1,5,2016
1452.08,286.78,0,122.25,1861.11,74,unknown,"Credit Card",2,7,1,5,2016
2043.78,0,0,105.5,2149.28,178,unknown,Cash,2,8,1,5,2016
2166.41,395.21,0,155,2716.62,101,unknown,"Credit Card",2,8,1,5,2016
7234.8,0,50,204.5,7489.3,356,unknown,Cash,2,9,1,5,2016
2893.8,541.06,0,166,3600.86,160,unknown,"Credit Card",2,9,1,5,2016
5241.32,0,0,360.54,5601.86,495,unknown,Cash,2,10,1,5,2016
3269.76,629.37,0,166.63,4065.76,214,unknown,"Credit Card",2,10,1,5,2016
70.45,0,0,0,70.45,4,unknown,otro,2,10,1,5,2016
11.65,0,0,0,11.65,1,unknown,otro,2,10,1,5,2016
6001.54,4,0,407,6412.54,585,unknown,Cash,2,11,1,5,2016
4484.55,952.46,0,319,5756.01,267,unknown,"Credit Card",2,11,1,5,2016
14.75,2,0,0,16.75,1,unknown,otro,2,11,1,5,2016
15.25,0,0,0,15.25,1,unknown,otro,2,11,1,5,2016
8377.92,2,57.5,480.25,8917.67,667,unknown,Cash,2,12,1,5,2016
4656.58,918.43,0,379,5954.01,313,unknown,"Credit Card",2,12,1,5,2016
5.05,1,0,0,6.05,1,unknown,otro,2,12,1,5,2016
5800.98,0,53.9,488.75,6343.63,611,unknown,Cash,2,13,1,5,2016
4738.64,937.1,0,442.5,6118.24,306,unknown,"Credit Card",2,13,1,5,2016
24.5,0,0,0,24.5,1,unknown,otro,2,13,1,5,2016
8432.11,0,50,625.25,9107.36,726,unknown,Cash,2,14,1,5,2016
5983.24,1138.98,0,523.5,7645.72,361,unknown,"Credit Card",2,14,1,5,2016
10250.24,2,0,762.75,11014.99,785,unknown,Cash,2,15,1,5,2016
6768.27,1433.23,0,559,8760.5,411,unknown,"Credit Card",2,15,1,5,2016
13.5,0,0,0,13.5,1,unknown,otro,2,15,1,5,2016
9874.99,0,50,765.95,10690.94,875,unknown,Cash,2,16,1,5,2016
7158.3,1390.59,0,565,9113.89,415,unknown,"Credit Card",2,16,1,5,2016
9736.92,0,0,824,10560.92,925,unknown,Cash,2,17,1,5,2016
6047.78,1288.36,0,468,7804.14,414,unknown,"Credit Card",2,17,1,5,2016
12.75,0,0,1.5,14.25,1,unknown,otro,2,17,1,5,2016
9476.01,0.1,0,852,10328.11,939,unknown,Cash,2,18,1,5,2016
7563.66,1562.6,0,649.25,9775.51,489,unknown,"Credit Card",2,18,1,5,2016
32.46,0,0,0,32.46,1,unknown,otro,2,18,1,5,2016
27,0,0,0,27,1,unknown,otro,2,18,1,5,2016
9147.04,0,0,876.25,10023.29,875,unknown,Cash,2,19,1,5,2016
6893.32,1402.1,0,724.74,9020.16,428,unknown,"Credit Card",2,19,1,5,2016
38.25,5,0,0,43.25,1,unknown,otro,2,19,1,5,2016
9.65,0,0,0,9.65,1,unknown,otro,2,19,1,5,2016
10218.08,0,0,869.25,11087.33,777,unknown,Cash,2,20,1,5,2016
6294.07,1372.19,0,681.25,8347.51,387,unknown,"Credit Card",2,20,1,5,2016
10.5,2.1,0,0,12.6,1,unknown,otro,2,20,1,5,2016
7623.18,0,0,773,8396.18,723,unknown,Cash,2,21,1,5,2016
7227.27,1491.55,0,568.5,9287.32,440,unknown,"Credit Card",2,21,1,5,2016
14.85,0,0,0,14.85,1,unknown,otro,2,21,1,5,2016
8436.37,0,0,765.25,9201.61999999999,780,unknown,Cash,2,22,1,5,2016
5744.6,1264.86,0,464.25,7473.71,431,unknown,"Credit Card",2,22,1,5,2016
45,9,0,0,54,1,unknown,otro,2,22,1,5,2016
5870.04,0,0,482.38,6352.42,590,unknown,Cash,2,23,1,5,2016
5424.46,1141.28,0,423,6988.74,393,unknown,"Credit Card",2,23,1,5,2016
5908.82,5,1.5,452.1,6367.42,580,unknown,Cash,3,0,1,6,2016
4688.16,1041.56,0,390.84,6120.56,400,unknown,"Credit Card",3,0,1,6,2016
5363.55,0,0,405.25,5768.8,555,unknown,Cash,3,1,1,6,2016
4823.39,1118.15,0,313.75,6255.29,455,unknown,"Credit Card",3,1,1,6,2016
14.5,0,0,0,14.5,2,unknown,otro,3,1,1,6,2016
4752.69,4,0,349.13,5105.82,488,unknown,Cash,3,2,1,6,2016
4938.74,1141.13,0,355.63,6435.5,454,unknown,"Credit Card",3,2,1,6,2016
3673.69,11.65,0,232.9,3918.24,343,unknown,Cash,3,3,1,6,2016
3534.03,795.38,0,242.25,4571.66,324,unknown,"Credit Card",3,3,1,6,2016
10.75,2.15,0,0,12.9,1,unknown,otro,3,3,1,6,2016
2593.59,0,0,174,2767.59,219,unknown,Cash,3,4,1,6,2016
2384.92,520.24,0,120.5,3025.66,190,unknown,"Credit Card",3,4,1,6,2016
53,11.78,0,0,64.78,3,unknown,otro,3,4,1,6,2016
2281.38,0,0,134.75,2416.13,158,unknown,Cash,3,5,1,6,2016
1631.99,303.66,2,89,2026.65,99,unknown,"Credit Card",3,5,1,6,2016
1556.9,0,0,104.25,1661.15,113,unknown,Cash,3,6,1,6,2016
1576.24,304.38,0,125,2005.62,68,unknown,"Credit Card",3,6,1,6,2016
12.65,2.53,0,0,15.18,1,unknown,otro,3,6,1,6,2016
6045.04,0,100,105,6250.04,133,unknown,Cash,3,7,1,6,2016
1316.15,258.84,0,77.5,1652.49,55,unknown,"Credit Card",3,7,1,6,2016
91.5,22.88,0,0,114.38,2,unknown,otro,3,7,1,6,2016
5650.52,0,100,197.5,5948.02,190,unknown,Cash,3,8,1,6,2016
1954.19,319.86,0,167.5,2441.55,81,unknown,"Credit Card",3,8,1,6,2016
10.05,0,0,0,10.05,1,unknown,otro,3,8,1,6,2016
11870.37,2,50,251,12173.37,302,unknown,Cash,3,9,1,6,2016
3358.73,643.79,0,247.25,4249.77,151,unknown,"Credit Card",3,9,1,6,2016
14351.33,0,100,294.5,14745.83,444,unknown,Cash,3,10,1,6,2016
4040.35,824.97,0,358.8,5224.12,216,unknown,"Credit Card",3,10,1,6,2016
3.25,0,0,0,3.25,1,unknown,otro,3,10,1,6,2016
6317.22,2,0,466,6785.22,480,unknown,Cash,3,11,1,6,2016
5619.99,1127.57,0,445,7192.56,281,unknown,"Credit Card",3,11,1,6,2016
13.5,0,0,0,13.5,1,unknown,otro,3,11,1,6,2016
9.25,2,0,1,12.25,1,unknown,otro,3,11,1,6,2016
16137.66,9.85,150,424.85,16722.36,511,unknown,Cash,3,12,1,6,2016
5503.46,1085.13,0,386,6974.59,286,unknown,"Credit Card",3,12,1,6,2016
10931.32,4,50,504.5,11489.82,480,unknown,Cash,3,13,1,6,2016
5937.77,1119.51,0,525.5,7582.78000000001,277,unknown,"Credit Card",3,13,1,6,2016
9.75,1.95,0,0,11.7,1,unknown,otro,3,13,1,6,2016
8.25,0,0,0,8.25,1,unknown,otro,3,13,1,6,2016
6812.73,0,50,448.75,7311.48,521,unknown,Cash,3,14,1,6,2016
7072.07,1357,0,578,9007.07,320,unknown,"Credit Card",3,14,1,6,2016
34.25,0,0,0,34.25,1,unknown,otro,3,14,1,6,2016
9448.11,7.77,0,728.25,10184.13,690,unknown,Cash,3,15,1,6,2016
7726.59,1536.73,0,715.75,9979.07,390,unknown,"Credit Card",3,15,1,6,2016
64.92,0,0,0,64.92,2,unknown,otro,3,15,1,6,2016
13030.3,16.55,100,611.7,13758.55,621,unknown,Cash,3,16,1,6,2016
7874.25,1532.29,0,646.75,10053.29,387,unknown,"Credit Card",3,16,1,6,2016
16.75,0,0,1,17.75,1,unknown,otro,3,16,1,6,2016
19004.59,7.77,100,487.65,19600.01,547,unknown,Cash,3,17,1,6,2016
7392.75,1456.09,0,668.5,9517.34,356,unknown,"Credit Card",3,17,1,6,2016
6403.49,23.47,2,563.76,6992.72,488,unknown,Cash,3,18,1,6,2016
7414.49,1493.66,0,651.75,9559.90000000001,333,unknown,"Credit Card",3,18,1,6,2016
5725.86,35.38,0,572,6333.24,431,unknown,Cash,3,19,1,6,2016
6690.27,1303.07,0,639.5,8632.84,286,unknown,"Credit Card",3,19,1,6,2016
6853.67,17.35,0,585.75,7456.77,425,unknown,Cash,3,20,1,6,2016
6783.94,1252.45,0,745.5,8781.89,279,unknown,"Credit Card",3,20,1,6,2016
11.75,2.35,0,0,14.1,1,unknown,otro,3,20,1,6,2016
11739.05,7.77,0,580,12326.82,350,unknown,Cash,3,21,1,6,2016
6408.03,1286.83,0,610.25,8305.11,277,unknown,"Credit Card",3,21,1,6,2016
4609.19,7.77,0,312.5,4929.46,290,unknown,Cash,3,22,1,6,2016
6417.42,1232.53,0,668.5,8318.45,259,unknown,"Credit Card",3,22,1,6,2016
4749.53,9.45,0,302.5,5061.48,318,unknown,Cash,3,23,1,6,2016
5839.43,1112.53,0,639,7590.96,239,unknown,"Credit Card",3,23,1,6,2016
11,2.75,0,0,13.75,2,unknown,otro,3,23,1,6,2016
3654.1,0,0,305.5,3959.6,273,unknown,Cash,4,0,1,0,2016
3260.92,606.37,0,299,4166.29,159,unknown,"Credit Card",4,0,1,0,2016
12.5,2.5,0,0,15,1,unknown,otro,4,0,1,0,2016
2539.56,0,0,341,2880.56,209,unknown,Cash,4,1,1,0,2016
2680.56,562.44,0,213,3456,146,unknown,"Credit Card",4,1,1,0,2016
3.25,13,0,0,16.25,1,unknown,otro,4,1,1,0,2016
1736.31,15.57,0,119.5,1871.38,167,unknown,Cash,4,2,1,0,2016
2041.18,423.43,0,185.75,2650.36,126,unknown,"Credit Card",4,2,1,0,2016
270.1,18.06,0,0,288.16,6,unknown,otro,4,2,1,0,2016
1598.32,2,0,99,1699.32,131,unknown,Cash,4,3,1,0,2016
1021.34,170.25,0,62,1253.59,78,unknown,"Credit Card",4,3,1,0,2016
2091.24,1,0,88.75,2180.99,137,unknown,Cash,4,4,1,0,2016
1197.64,195.13,0,73,1465.77,59,unknown,"Credit Card",4,4,1,0,2016
3862.48,0,0,238.25,4100.73,211,unknown,Cash,4,5,1,0,2016
2513.34,460.27,0,155.5,3129.11,89,unknown,"Credit Card",4,5,1,0,2016
10.65,0,0,0,10.65,1,unknown,otro,4,5,1,0,2016
4683.94,0,0,205,4888.94,317,unknown,Cash,4,6,1,0,2016
3177.44,614.85,0,198,3990.29,140,unknown,"Credit Card",4,6,1,0,2016
6444.05,2,0,154,6600.05,601,unknown,Cash,4,7,1,0,2016
5089.38,960.76,0,176.25,6226.39,316,unknown,"Credit Card",4,7,1,0,2016
16223.91,3,50,223.75,16500.66,807,unknown,Cash,4,8,1,0,2016
7094.31,1497.57,0,410.25,9002.13,511,unknown,"Credit Card",4,8,1,0,2016
14.85,3.71,0,0,18.56,1,unknown,otro,4,8,1,0,2016
5.75,0,0,0,5.75,1,unknown,otro,4,8,1,0,2016
8321.24999999999,0,0,280.25,8601.49999999999,751,unknown,Cash,4,9,1,0,2016
8788.02,1775.95,0,758.25,11322.22,532,unknown,"Credit Card",4,9,1,0,2016
26.5,6.91,0,0,33.41,3,unknown,otro,4,9,1,0,2016
20.25,0,0,1,21.25,3,unknown,otro,4,9,1,0,2016
8.75,0,0,1,9.75,1,unknown,otro,4,9,1,0,2016
7953.77,2,0,295.25,8251.02,742,unknown,Cash,4,10,1,0,2016
8724.7,1722.13,0,632,11078.83,505,unknown,"Credit Card",4,10,1,0,2016
20.5,0,0,0,20.5,1,unknown,otro,4,10,1,0,2016
5.75,2,0,0,7.75,1,unknown,otro,4,10,1,0,2016
7220.45,2,0,442,7664.45,645,unknown,Cash,4,11,1,0,2016
8257.55,1697.01,0,911.35,10865.91,415,unknown,"Credit Card",4,11,1,0,2016
11.05,0,0,0,11.05,1,unknown,otro,4,11,1,0,2016
14.25,0,0,1,15.25,1,unknown,otro,4,11,1,0,2016
6093.54,32.35,0,260.5,6386.39,585,unknown,Cash,4,12,1,0,2016
6014.06,1316.88,0,453,7783.94000000001,359,unknown,"Credit Card",4,12,1,0,2016
11.25,0,0,0,11.25,2,unknown,otro,4,12,1,0,2016
14315.76,2,0,417.54,14735.3,665,unknown,Cash,4,13,1,0,2016
6756.3,1369.27,0,586,8711.57,402,unknown,"Credit Card",4,13,1,0,2016
7193.87,2,0,405.5,7601.37,656,unknown,Cash,4,14,1,0,2016
6767.25,1410.81,0,480.5,8658.56,373,unknown,"Credit Card",4,14,1,0,2016
3.25,0.65,0,0,3.9,1,unknown,otro,4,14,1,0,2016
36.25,0,0,1.5,37.75,3,unknown,otro,4,14,1,0,2016
23,0,0,0,23,1,unknown,otro,4,14,1,0,2016
8392.2,0,0,422.25,8814.45,750,unknown,Cash,4,15,1,0,2016
7525.76,1490.5,0,662.25,9678.51,408,unknown,"Credit Card",4,15,1,0,2016
5.25,1.05,0,0,6.3,1,unknown,otro,4,15,1,0,2016
16.5,0,0,0,16.5,1,unknown,otro,4,15,1,0,2016
6.5,0,0,1,7.5,1,unknown,otro,4,15,1,0,2016
9445.07,0,0,475.75,9920.82,800,unknown,Cash,4,16,1,0,2016
8990.95,1759.8,0,642,11392.75,525,unknown,"Credit Card",4,16,1,0,2016
49.75,9.95,0,0,59.7,1,unknown,otro,4,16,1,0,2016
8658.84,4,0,280.75,8943.59,864,unknown,Cash,4,17,1,0,2016
9444.13,1947.32,0,712.65,12104.1,656,unknown,"Credit Card",4,17,1,0,2016
21,0,0,0,21,1,unknown,otro,4,17,1,0,2016
8377.11,0,0,441.74,8818.85,783,unknown,Cash,4,18,1,0,2016
9735.53,2067.17,0,554.45,12357.15,690,unknown,"Credit Card",4,18,1,0,2016
124.9,6.3,0,0,131.2,5,unknown,otro,4,18,1,0,2016
17059.01,0,50,396.9,17505.91,613,unknown,Cash,4,19,1,0,2016
9183.33,1888.87,0,540.5,11612.7,581,unknown,"Credit Card",4,19,1,0,2016
4974.21,2,0,286.25,5262.46,441,unknown,Cash,4,20,1,0,2016
8308.67,1713.98,0,689,10711.65,498,unknown,"Credit Card",4,20,1,0,2016
51.5,0,0,0,51.5,1,unknown,otro,4,20,1,0,2016
5112.68,0,0,392.25,5504.93,369,unknown,Cash,4,21,1,0,2016
6377.15,1352.17,0,561,8290.32,333,unknown,"Credit Card",4,21,1,0,2016
8,0,0,0,8,1,unknown,otro,4,21,1,0,2016
3970.65,0,0,294.5,4265.15,286,unknown,Cash,4,22,1,0,2016
5573.4,1065.72,0,449.25,7088.37,262,unknown,"Credit Card",4,22,1,0,2016
17,3.4,0,0,20.4,1,unknown,otro,4,22,1,0,2016
2843.08,0,0,207.75,3050.83,205,unknown,Cash,4,23,1,0,2016
3489.9,622.56,0,211.5,4323.96,164,unknown,"Credit Card",4,23,1,0,2016
2188.55,3,0,148,2339.55,137,unknown,Cash,5,0,1,1,2016
2041.1,356.86,0,165.5,2563.46,94,unknown,"Credit Card",5,0,1,1,2016
48.25,0,0,0,48.25,1,unknown,otro,5,0,1,1,2016
8,0,0,0,8,1,unknown,otro,5,0,1,1,2016
1817.4,0,0,158.5,1975.9,111,unknown,Cash,5,1,1,1,2016
1375.6,261.48,0,63,1700.08,61,unknown,"Credit Card",5,1,1,1,2016
923.8,0,0,48,971.8,73,unknown,Cash,5,2,1,1,2016
1053.25,211.06,0,54.5,1318.81,51,unknown,"Credit Card",5,2,1,1,2016
943.9,0,0,31.5,975.4,61,unknown,Cash,5,3,1,1,2016
448.3,87.8,0,21,557.1,27,unknown,"Credit Card",5,3,1,1,2016
9,1.8,0,0,10.8,1,unknown,otro,5,3,1,1,2016
1191.44,0,0,32.25,1223.69,73,unknown,Cash,5,4,1,1,2016
917.81,216.54,1,32,1167.35,37,unknown,"Credit Card",5,4,1,1,2016
2314.01,0,0,63.5,2377.51,132,unknown,Cash,5,5,1,1,2016
1641.95,295.79,0,49.5,1987.24,54,unknown,"Credit Card",5,5,1,1,2016
4048.1,3,0,142,4193.1,283,unknown,Cash,5,6,1,1,2016
3261.86,592.59,0,274,4128.45,135,unknown,"Credit Card",5,6,1,1,2016
11925.03,7,50,134,12116.03,523,unknown,Cash,5,7,1,1,2016
4408.29,917.09,0,203,5528.38,349,unknown,"Credit Card",5,7,1,1,2016
27.5,0,0,0,27.5,2,unknown,otro,5,7,1,1,2016
8648.56,2,0,219.5,8870.06,846,unknown,Cash,5,8,1,1,2016
7152.98,1533.54,0,682.75,9369.26999999999,588,unknown,"Credit Card",5,8,1,1,2016
13.5,0,0,0,13.5,1,unknown,otro,5,8,1,1,2016
18,0,0,0.5,18.5,4,unknown,otro,5,8,1,1,2016
9185.41,2,50,317.75,9555.16,759,unknown,Cash,5,9,1,1,2016
8235.89,1691.15,0,520,10447.04,595,unknown,"Credit Card",5,9,1,1,2016
7,0,0,1,8,1,unknown,otro,5,9,1,1,2016
3.25,3,0,0,6.25,1,unknown,otro,5,9,1,1,2016
6933.9,2,0,219.25,7155.15,641,unknown,Cash,5,10,1,1,2016
5554.65,1158.05,0,251,6963.7,417,unknown,"Credit Card",5,10,1,1,2016
7.75,1.55,0,0,9.3,1,unknown,otro,5,10,1,1,2016
24.9,2,0,1,27.9,2,unknown,otro,5,10,1,1,2016
6812.15,17.35,0,276.26,7105.76,664,unknown,Cash,5,11,1,1,2016
6704.92,1448.86,0,595.15,8748.93,439,unknown,"Credit Card",5,11,1,1,2016
6.75,0,0,1,7.75,1,unknown,otro,5,11,1,1,2016
5.75,0,0,0,5.75,1,unknown,otro,5,11,1,1,2016
6857.06,11.65,0,320.2,7188.91,649,unknown,Cash,5,12,1,1,2016
6427.19,1374.8,0,519.5,8321.49,427,unknown,"Credit Card",5,12,1,1,2016
10.25,2.05,0,0,12.3,1,unknown,otro,5,12,1,1,2016
10.5,0,0,0,10.5,1,unknown,otro,5,12,1,1,2016
36.25,0,0,0.5,36.75,5,unknown,otro,5,12,1,1,2016
22.45,2,0,0,24.45,2,unknown,otro,5,12,1,1,2016
6488.3,8.45,0,372.25,6869,642,unknown,Cash,5,13,1,1,2016
7144.45,1541.37,23,479,9187.82,477,unknown,"Credit Card",5,13,1,1,2016
18.7,0,0,0,18.7,2,unknown,otro,5,13,1,1,2016
94.5,7,0,5,106.5,5,unknown,otro,5,13,1,1,2016
4.25,2,0,0,6.25,1,unknown,otro,5,13,1,1,2016
6859.98,13.75,0,467.56,7341.29,621,unknown,Cash,5,14,1,1,2016
6358.55,1356.78,0,600.5,8315.83,402,unknown,"Credit Card",5,14,1,1,2016
8249.69,0,0,449.56,8699.25,715,unknown,Cash,5,15,1,1,2016
7760.03,1590.75,0,481.25,9832.02999999999,433,unknown,"Credit Card",5,15,1,1,2016
7.25,1.45,0,0,8.7,1,unknown,otro,5,15,1,1,2016
21.25,0,0,0,21.25,1,unknown,otro,5,15,1,1,2016
24.75,0,0,0,24.75,2,unknown,otro,5,15,1,1,2016
9769.84,2,0,404.34,10176.18,809,unknown,Cash,5,16,1,1,2016
8629.88,1790.16,0,614.62,11034.66,528,unknown,"Credit Card",5,16,1,1,2016
9.75,2.44,0,0,12.19,1,unknown,otro,5,16,1,1,2016
16.75,0,0,0,16.75,2,unknown,otro,5,16,1,1,2016
9458.98,2,50,342.25,9853.23,911,unknown,Cash,5,17,1,1,2016
10558.97,2218.55,0,707,13484.52,748,unknown,"Credit Card",5,17,1,1,2016
14.75,0,0,0,14.75,1,unknown,otro,5,17,1,1,2016
10350.04,10.95,0,485.25,10846.24,922,unknown,Cash,5,18,1,1,2016
11210.93,2398.35,0,634,14243.28,809,unknown,"Credit Card",5,18,1,1,2016
52.75,0,0,4,56.75,2,unknown,otro,5,18,1,1,2016
9853.20000000001,12.45,75,478.75,10419.4,728,unknown,Cash,5,19,1,1,2016
10128.02,2092.77,0,601.24,12822.03,668,unknown,"Credit Card",5,19,1,1,2016
24.5,6.12,0,0,30.62,3,unknown,otro,5,19,1,1,2016
19.75,0,0,0,19.75,1,unknown,otro,5,19,1,1,2016
7127.54,4,0,394.25,7525.79,541,unknown,Cash,5,20,1,1,2016
9628.7,2037.48,0,762.85,12429.03,574,unknown,"Credit Card",5,20,1,1,2016
9,1.8,0,0,10.8,1,unknown,otro,5,20,1,1,2016
6738.25,2,0,339.75,7080,491,unknown,Cash,5,21,1,1,2016
8762.45,1877.97,0,632.25,11272.67,534,unknown,"Credit Card",5,21,1,1,2016
4338.55,8.2,0,305.25,4652,369,unknown,Cash,5,22,1,1,2016
4557.24,980.86,0,270,5808.1,312,unknown,"Credit Card",5,22,1,1,2016
2953.58,0,0,123.5,3077.08,251,unknown,Cash,5,23,1,1,2016
3012.45,630.6,0,207,3850.05,166,unknown,"Credit Card",5,23,1,1,2016
20,2.2,0,0,22.2,3,unknown,otro,5,23,1,1,2016
2514.08,0,0,196.75,2710.83,183,unknown,Cash,6,0,1,2,2016
2201.2,473.37,0,139.5,2814.07,127,unknown,"Credit Card",6,0,1,2,2016
15,0,0,0,15,1,unknown,otro,6,0,1,2,2016
1207.4,0,0,34,1241.4,96,unknown,Cash,6,1,1,2,2016
804.85,151.57,0,15.5,971.92,55,unknown,"Credit Card",6,1,1,2,2016
21.25,4.25,0,0,25.5,3,unknown,otro,6,1,1,2,2016
850.94,0,0,12.25,863.19,78,unknown,Cash,6,2,1,2,2016
526.7,119.32,0,24.5,670.52,34,unknown,"Credit Card",6,2,1,2,2016
600,0,0,15.75,615.75,48,unknown,Cash,6,3,1,2,2016
187.6,34.19,0,10,231.79,15,unknown,"Credit Card",6,3,1,2,2016
901.8,0,0,40.5,942.3,60,unknown,Cash,6,4,1,2,2016
