V_ACCT_LGHT,C_IP,C_VMP,V_N_VM_MESS,V_T_DAY_CHG,V_T_EVE_CALLS,V_T_EVE_CHG,V_T_NIG_CALLS,V_T_NIG_CHG,V_T_INT_CALLS,V_T_INT_CHG,V_CS_CALLS,TARGET,ID
119,No,No,0,27.05,117,19.66,91,6.44,3,2.38,5,1,49
52,No,No,0,32.62,96,22.93,87,10.66,5,2.11,3,0,51
60,No,No,0,37.5,115,17.94,129,11.21,3,1.84,1,0,52
96,No,No,0,27.23,67,22.74,68,10.28,5,2.51,2,0,54
87,No,No,0,25.67,116,18.67,127,9.18,3,2.62,5,1,55
81,No,No,0,29.84,85,21.19,98,12.16,3,2.75,1,0,56
141,No,No,0,21.57,62,15.3,128,6.34,2,2.16,1,0,57
125,No,No,0,38.98,126,15.08,95,8.52,8,3.24,1,0,60
116,No,Yes,34,45.66,142,15.15,106,7.48,3,3.13,2,0,62
74,No,Yes,33,32.93,96,20.92,92,6.21,3,3.94,2,0,63
38,No,No,0,22.3,97,13.85,106,7.15,6,2.21,2,0,65
40,No,Yes,41,25.18,88,14.41,102,9.63,5,1.67,2,0,66
126,No,No,0,35.97,80,18.44,60,6.91,1,2.11,1,0,69
150,No,No,0,30.41,110,14.37,100,6.69,3,3.73,4,1,70
138,No,No,0,41.11,83,14.49,104,13.29,7,3.19,3,0,71
147,No,No,0,42.26,85,12.66,109,7.76,4,2.16,3,0,73
90,No,No,0,34.58,117,19.27,105,6.86,4,1.97,1,0,74
85,No,No,0,40.09,94,13.36,99,8.47,3,3.24,0,0,75
50,No,No,0,26.71,72,18.98,111,8.16,2,1.65,1,0,76
82,No,No,0,51.05,100,15.39,73,12.15,4,3.16,0,1,77
46,No,No,0,36.4,104,13.97,113,7.99,3,2.21,2,0,79
70,No,No,0,28.93,102,13.19,76,10.29,2,4.05,1,0,80
144,No,No,0,34.19,74,25.8,119,10.08,2,3.56,1,0,81
55,No,Yes,25,28.15,95,11.57,90,7.91,2,2.97,3,0,83
70,No,Yes,24,42.42,98,22.07,68,10.02,4,2.65,1,0,84
106,No,No,0,35.8,85,21.18,88,8.61,1,3.35,2,1,85
94,No,No,0,26.84,101,13.18,84,8.53,5,2.16,4,1,87
111,No,No,0,36.43,76,17.72,98,8.21,2,3.24,1,0,88
74,No,Yes,35,26.2,84,10.49,57,9.09,9,2.94,2,0,89
128,No,No,0,40.44,93,21.05,68,9.4,4,3.75,1,1,90
82,No,No,0,24.46,105,16.57,94,4.93,2,3,1,0,91
155,No,No,0,34.58,104,16.23,119,8.82,4,2.4,0,1,92
80,No,No,0,21.13,107,14.71,62,11.39,9,2.13,1,0,93
78,No,No,0,42.99,112,15.16,105,11.88,7,2.57,3,0,94
90,No,No,0,30.45,81,16.2,91,5.75,7,2.86,3,0,95
104,No,No,0,47.33,113,6.89,137,7.34,5,2.65,1,0,96
73,No,No,0,27.22,72,18.13,72,7.83,4,3.51,0,0,97
99,No,No,0,33.69,76,17.62,113,8.59,3,2.35,4,0,98
120,No,No,0,36.06,104,17.8,96,7.52,5,1.43,1,1,99
77,No,No,0,42.81,126,17.48,109,12.38,7,2.65,2,1,100
98,No,Yes,21,27.4,83,21.44,92,7.21,8,1.19,4,0,101
108,No,No,0,30.31,76,16.07,102,5.81,5,3.94,0,0,102
135,No,No,0,25.79,105,10.12,100,8.1,6,2.84,0,0,103
95,No,No,0,22.95,106,15.61,102,11.04,9,3.38,1,0,104
122,No,No,0,28.99,109,14.76,75,11.19,2,3.05,1,0,105
95,No,No,0,40.48,98,15.91,115,8.55,4,3.19,4,0,106
36,No,Yes,29,47.84,76,17.19,113,8.42,6,2.43,2,0,107
93,No,Yes,21,20.04,115,13.98,86,9.76,3,2.65,1,0,108
141,No,Yes,32,25.26,97,11.14,142,9.87,1,2.73,1,0,109
157,No,No,0,39.07,121,12.57,108,10.86,7,2.59,3,0,110
120,No,No,0,28.05,83,26.96,86,5.36,8,2.24,1,0,111
103,No,No,0,31.45,94,18.98,91,10.03,2,3.4,2,0,112
98,No,No,0,27.37,113,16.23,113,10.25,4,3.27,4,0,113
125,No,No,0,21.54,90,17.51,114,11.15,7,3.59,1,0,114
63,No,No,0,10.01,59,14.42,88,9.51,3,2.54,1,0,115
112,No,Yes,36,19.33,82,13.39,118,7.99,3,2.7,2,0,119
97,No,No,0,40.77,111,18.26,81,6.45,5,2.35,2,0,120
46,No,No,0,35.73,77,19.32,116,9,7,3.54,1,0,121
41,No,Yes,22,36.35,86,12.05,123,6.4,3,1.94,0,0,122
121,No,No,0,32.42,117,15.6,103,9.94,4,2.65,3,0,123
193,No,No,0,29.05,95,11.25,89,5.08,3,3.13,1,0,124
130,No,No,0,26.21,98,9.37,117,10.23,5,2.48,2,0,125
162,No,No,0,12.02,87,13.39,82,6.97,3,2.46,4,1,127
61,No,Yes,27,31.88,103,12.46,129,10.16,6,1.73,4,1,128
92,No,No,0,15.59,123,16.46,86,7.88,4,2.48,2,0,129
131,No,Yes,36,36.41,117,13.74,102,11.91,4,2.57,3,0,130
90,No,No,0,24.74,114,18.5,123,6.61,2,2.94,3,0,131
75,No,No,0,28.27,86,13.45,80,11.55,5,1.65,1,0,132
78,No,No,0,39.27,140,19.58,120,11.76,3,2.57,1,0,133
82,No,No,0,34.05,102,17.1,60,9.27,1,1.92,4,0,134
163,No,No,0,33.49,128,17.22,80,9.29,10,2.46,1,0,135
75,No,Yes,21,29.89,106,18.49,134,10.69,4,1.43,5,0,137
91,No,No,0,34.53,113,17.86,129,8.8,3,3.24,3,0,138
127,No,Yes,36,31.14,76,10.78,71,11.85,8,3.02,1,0,139
113,No,Yes,23,34.85,60,12.92,59,7.14,5,2.75,2,0,140
110,No,No,0,25.25,84,23.49,112,8.71,3,3.35,1,0,141
120,No,Yes,39,34.05,97,18.73,116,11.42,4,2.84,0,0,142
157,No,Yes,28,32.74,74,16.62,139,4.94,5,1.84,3,0,143
140,No,No,0,39.42,94,13.61,98,4.97,6,3.86,3,0,146
127,No,No,0,24.94,78,17.3,110,9.15,3,3.7,1,0,147
121,No,No,0,30.86,98,18.56,103,7.27,5,2.3,1,0,149
145,No,Yes,43,43.81,95,13.78,86,12.91,4,3,2,0,150
113,No,No,0,32.95,125,18.82,67,7.75,6,2.86,1,0,151
117,No,No,0,17.48,91,17.57,105,13.46,7,2.73,1,0,152
65,No,No,0,31.94,117,13.4,86,10.23,6,2.03,1,0,153
56,No,No,0,38.42,118,21.12,142,6.32,11,1.86,1,0,154
151,No,No,0,30.38,138,24.83,101,11.97,4,2.65,0,0,156
139,No,Yes,23,26.79,96,21,112,11.66,2,3.7,0,0,158
115,No,Yes,24,24.16,129,15.59,114,7.42,4,2.59,1,0,160
87,No,No,0,23.17,108,14.64,101,6.19,5,1.92,0,0,161
141,No,No,0,36.91,111,20.53,103,11.41,6,3.24,0,0,162
141,No,Yes,36,31.88,116,20.52,105,10.33,5,2.84,3,0,163
62,No,No,0,16.81,122,11.51,82,10.65,1,3.29,1,0,164
92,No,Yes,33,41.33,92,18.17,104,10.29,2,3.27,2,0,166
185,No,Yes,31,32.27,133,13.88,126,11.92,3,2.03,1,0,167
148,No,No,0,34.34,128,20.67,90,11.76,3,2.94,1,0,168
94,No,Yes,38,28.92,116,16.43,73,4.77,4,3.46,1,0,169
68,No,No,0,40.31,105,19,79,4.38,2,3.56,1,0,171
64,No,Yes,27,30.96,98,14.42,86,7.41,5,2.86,2,0,172
25,No,No,0,20.28,101,17.98,86,12.1,4,2.84,3,0,173
179,No,No,0,37.26,125,12.7,104,11.01,5,1.65,0,0,175
94,No,No,0,42.94,125,14.37,106,7.69,7,3,2,0,176
62,No,No,0,25.01,107,16.18,115,8.78,3,3.29,0,0,177
127,No,No,0,34.36,86,19.5,113,8.78,3,3.11,2,0,178
116,No,No,0,29.5,76,16.5,112,9.36,10,4.37,3,0,179
126,No,No,0,9.89,118,11.79,91,6.16,1,3.21,5,1,182
67,No,Yes,36,19.65,94,20.2,103,7.65,12,2.67,2,0,183
19,No,No,0,31.64,57,21.62,127,9.63,7,3.94,2,0,184
73,No,No,0,36.43,135,22.82,92,10.85,13,2.92,1,0,186
164,No,No,0,27.3,126,13.87,112,8.42,3,2.43,1,0,189
51,No,No,0,39.51,95,15.93,107,10.4,3,2.46,1,0,190
107,No,No,0,22.75,94,15.34,115,5.05,4,2.4,0,0,191
130,No,No,0,30.07,104,7.71,69,10.71,2,2.57,1,0,192
80,No,No,0,35.68,77,16.58,119,9.37,4,2.38,2,0,193
94,No,No,0,23.38,88,17.27,131,6.75,2,3.62,0,0,194
117,No,Yes,23,33.68,86,15.05,92,8.12,6,1.84,1,0,196
78,No,No,0,25.45,115,15.49,126,11.77,8,2.62,0,0,197
63,No,No,0,14.11,106,15.05,89,11.06,3,3.51,0,0,200
53,No,Yes,24,24.77,136,18.74,96,11.25,5,3.54,3,0,201
97,No,No,0,37.06,94,15.64,110,10.82,8,1.73,3,0,203
157,No,No,0,25.96,80,21.89,93,8.91,4,2.54,1,0,205
66,No,Yes,36,18.14,77,17.83,117,8.57,2,3.27,1,0,206
122,No,No,0,41.45,72,7.13,84,8.09,8,3.7,2,0,207
38,No,No,0,33.05,95,15.87,90,10.05,5,2.92,3,0,208
106,No,No,0,36.36,70,12.91,124,11.7,5,3.29,3,0,209
99,No,No,0,36.92,89,20.97,89,10.17,7,4.27,3,0,210
99,No,No,0,40.99,98,13.23,109,8.47,10,3.13,1,0,211
82,No,Yes,24,26.38,106,20.78,68,5.51,3,2.89,1,0,213
86,No,Yes,31,28.49,118,9.61,121,11.11,6,3.29,1,0,214
93,No,No,0,30.48,98,15.18,131,10.13,6,3.11,3,0,216
93,No,No,0,25.74,76,15.84,120,7.76,3,2.94,0,0,217
120,No,No,0,30.6,82,19.06,91,11.94,7,1.27,3,0,218
136,No,No,0,42.53,118,22.7,114,6.8,2,3.51,1,1,219
106,No,No,0,37.91,98,9.36,107,8.49,12,1.92,0,0,220
81,No,No,0,31.21,98,12.97,99,9.55,6,3.29,3,0,221
127,No,Yes,22,28.22,103,14.83,68,11.02,6,2.75,1,0,222
65,No,No,0,23.14,96,23.2,104,9.91,2,1.19,1,0,223
35,No,No,0,25.38,122,20.59,104,7.84,6,2.4,2,0,224
88,No,No,0,11.12,76,14.3,113,10.62,1,3.73,2,0,225
123,No,No,0,35.17,78,20.8,136,9.97,2,2.08,3,0,227
104,No,Yes,23,47.63,92,18.74,102,6.16,3,3.59,4,0,229
45,No,Yes,22,33.42,92,26.62,108,7.35,3,3.21,0,0,230
100,No,No,0,34.53,126,18.45,122,8.14,2,3.65,3,0,233
53,No,No,0,28.7,87,18.73,113,6.94,2,2.94,0,0,234
139,No,No,0,22.85,98,17.96,125,8.71,2,2.75,5,1,236
110,No,Yes,40,34.44,128,10.1,98,10.57,9,2.43,2,0,237
110,No,No,0,12.67,98,17.07,101,8.65,7,2.65,3,0,238
73,No,No,0,32.67,116,14.33,87,6.29,6,2.54,1,0,240
138,No,No,0,37.43,125,7.51,79,8.79,5,3.48,0,0,241
85,No,No,0,38.25,63,15.04,110,8.74,2,1.92,3,0,244
22,No,No,0,18.75,93,14.15,96,9.1,5,2.57,0,0,246
107,No,Yes,37,10.2,80,8.69,106,11.78,3,3,0,0,247
51,No,No,0,36.52,58,12.72,66,12.75,5,2.75,0,0,248
94,No,No,0,30.91,98,17.2,97,11.07,2,2.48,4,0,249
119,No,Yes,23,26.18,137,23.63,112,10.28,4,3.19,2,0,250
33,No,Yes,29,26.76,80,10.02,79,12.56,11,3.75,4,1,251
106,No,No,0,35.34,109,14.62,143,8.63,7,3.89,4,0,252
82,No,No,0,35.19,83,19.8,108,7.76,8,2.46,3,0,253
86,No,Yes,41,20.23,134,19.55,58,10.66,3,2.57,0,0,254
106,No,Yes,32,28.2,93,18.4,86,7.79,8,3.81,4,0,256
108,No,No,0,23.56,117,14.65,92,10.42,3,2.65,1,0,257
114,No,No,0,14.4,86,21.24,95,8.7,8,3.92,1,0,258
59,No,No,0,26.38,123,20,80,7.62,4,2.35,1,0,260
151,No,No,0,22.87,112,12.16,61,10.08,1,4.16,1,0,262
117,No,No,0,24.36,108,17.96,96,8.33,3,3.11,1,0,263
78,No,No,0,28.61,73,18.8,136,10.85,1,3.38,1,0,264
155,No,No,0,44.61,113,16.54,85,6.59,6,2.24,2,0,265
114,No,Yes,30,35.05,91,22.1,83,13.12,6,3.08,1,0,266
114,No,Yes,28,38.39,117,16.41,100,10.46,9,2.27,4,0,267
119,No,No,0,23.51,78,14.49,98,11.88,6,3.65,3,0,268
101,No,No,0,35.12,117,19.12,100,11.25,3,3.94,0,0,271
117,No,No,0,22.9,83,15.3,104,9.04,3,2.08,1,0,272
49,No,Yes,28,36.45,100,19.99,107,9.28,13,2.16,3,0,273
139,No,No,0,32.78,96,19.92,101,9.14,3,3.51,3,0,274
92,No,Yes,28,25.69,79,16.56,114,10.76,3,2.7,1,0,275
83,No,No,0,37.64,103,19.7,100,5.51,5,2.65,3,0,276
131,No,Yes,25,32.76,105,19.2,59,11.44,6,2.94,2,0,279
143,No,No,0,29.29,108,14.79,119,8.47,4,3.51,2,0,281
81,No,No,0,33.73,108,17.93,71,8.7,6,2.81,2,0,282
48,No,Yes,37,35.99,84,13.59,80,6.48,1,3.29,1,0,283
86,No,Yes,28,37.67,100,24.51,105,10.81,2,2.43,1,0,284
145,No,Yes,24,25.08,108,14.93,102,11.34,3,4.21,2,0,286
137,No,No,0,35.09,102,10.88,84,8.75,5,2.38,2,0,287
137,No,No,0,35,86,17.79,84,13.05,4,3.92,2,0,288
167,No,No,0,35.29,63,11.25,98,11.48,5,3.81,0,0,289
89,No,No,0,51.66,114,22.18,89,14.04,3,1.43,1,1,290
132,No,No,0,16.92,80,10.97,124,5.63,3,2.62,0,0,292
94,No,No,0,30.11,112,16.49,108,6.6,4,1.59,1,0,293
96,No,Yes,37,29.36,116,10.21,86,9.72,5,2.78,5,1,294
96,No,Yes,18,29.36,113,11.34,70,11.68,3,2.65,1,0,295
74,No,No,0,14.57,67,21.05,85,6.41,5,2.73,2,0,297
36,No,No,0,26.79,58,15.67,99,10.82,1,3.21,0,0,298
113,No,No,0,36.64,117,18.59,91,9.32,9,1.78,4,0,299
94,No,No,0,30.86,88,16.99,114,12.95,5,1.78,1,0,300
67,No,No,0,29.19,81,9.38,111,8.79,4,3.21,2,0,301
158,No,No,0,26.86,114,24.86,89,10.85,4,2.46,1,0,304
136,No,No,0,15.64,77,21.56,90,9.63,10,2.78,1,0,305
113,No,No,0,46.26,118,22.82,105,9.62,10,2.3,1,1,307
122,No,No,0,50.39,89,18.26,107,6.03,3,3.08,4,1,308
112,No,No,0,33.05,82,16.18,107,8.25,2,3.08,0,0,309
62,No,No,0,42.28,118,18.7,78,11.96,2,3.56,1,1,311
110,No,Yes,38,40.17,112,16.65,82,8.26,6,2.62,1,0,312
16,No,No,0,34.95,93,14.41,64,9.9,3,2.94,0,0,313
73,No,No,0,16,122,23.83,77,9.23,4,2.65,0,0,314
103,No,Yes,28,20.57,100,22.98,76,7.22,4,2.08,2,0,317
119,No,Yes,29,20.03,114,21.83,76,6.64,3,2.05,3,0,318
173,No,Yes,21,39.51,118,18.01,102,12.29,5,1.35,3,0,319
86,No,No,0,29.97,97,22.03,78,12.93,3,1.67,0,0,321
114,No,Yes,32,21.28,105,15.11,89,10.46,3,3.48,1,0,322
104,No,No,0,23.58,113,21.84,74,10.57,3,2.7,0,0,323
148,No,No,0,14.67,92,20.96,91,11.32,4,3.05,1,0,324
129,No,No,0,35.19,121,13.17,112,11.03,5,3.62,3,0,325
100,No,Yes,30,10,107,18.66,118,6.85,3,1.92,0,0,326
143,No,Yes,33,40.66,112,20.02,95,7.03,4,2.57,1,0,328
76,No,No,0,33.71,86,18.45,96,8.48,3,3.38,0,0,329
158,No,No,0,34.88,77,20.45,108,3.59,12,3.89,0,0,330
116,No,No,0,32.66,135,26.6,94,5.86,2,2.13,3,0,331
54,No,No,0,46.34,74,21.14,111,8.88,2,2.57,1,1,332
108,No,No,0,28.83,87,22.45,78,9.28,4,2.51,0,0,334
66,No,No,0,34.22,66,12.99,101,10.49,4,2.03,1,0,335
99,No,No,0,28.76,77,23.08,104,7.66,2,2.86,0,0,337
55,No,No,0,33,110,15.01,136,13.63,7,1.89,2,0,338
77,No,No,0,39.75,94,22.65,104,9.57,3,2.05,2,0,339
78,No,No,0,38.27,127,16.93,102,7.9,2,3.94,0,0,340
89,No,No,0,36.21,71,15.01,126,11.82,1,2.46,1,1,341
101,No,No,0,31.26,101,21.75,145,12.38,11,2.92,1,0,342
44,No,Yes,34,37.71,85,13.74,62,10.25,7,3.78,0,0,343
64,No,Yes,37,26.28,103,7.09,99,7.47,3,3.59,1,0,345
141,No,No,0,44.23,120,15.23,119,6.08,8,1.94,3,0,346
81,No,Yes,33,27.47,90,10.46,101,11.76,5,3.29,1,0,347
162,No,No,0,37.5,121,13.19,89,8.4,11,2.84,1,0,348
83,No,Yes,41,26.5,107,13.8,105,5.74,5,3.54,3,0,349
100,No,No,0,18.19,67,8.98,74,10.94,3,3.46,4,1,350
59,No,No,0,31.03,95,17.4,100,10.35,8,3.05,4,0,351
79,No,No,0,25.87,132,15.06,87,4.34,3,1.43,1,0,353
117,No,No,0,30.86,88,17.43,82,9.18,9,3.97,2,0,354
31,No,No,0,28.24,93,6.74,98,9.62,2,3.43,1,0,356
122,No,Yes,23,22.81,132,19.32,96,5.51,2,2.3,2,0,358
90,No,Yes,29,25.52,103,22.5,97,8.03,4,1.57,1,0,360
148,No,No,0,21.15,81,15.27,99,11.39,6,3.05,0,0,362
39,No,Yes,36,24.09,113,19.75,131,9.99,5,3.24,1,0,363
77,No,No,0,39.1,138,8.77,136,13.93,3,3.05,2,0,364
194,No,No,0,27.59,118,18.16,81,8.64,2,2.94,0,0,365
112,No,No,0,32.86,123,22.45,115,5.79,3,2.46,4,0,367
132,No,No,0,14.18,137,19.74,114,6.6,5,2.05,1,0,369
128,No,No,0,33.25,120,22.76,76,7.42,2,4.32,0,0,370
135,No,No,0,34.31,114,19.13,82,9.2,6,2.78,1,0,371
56,No,No,0,33.49,102,18.94,91,10.14,6,2.86,2,0,372
32,No,No,0,28.02,96,19.54,108,7.53,2,4,2,0,374
90,No,No,0,30.46,99,17.91,58,12.46,6,2.48,2,0,375
87,No,Yes,21,36.38,114,15.3,82,6.05,5,2.86,0,0,376
138,No,No,0,28.99,116,10.05,111,8.46,7,3.02,2,0,377
127,No,No,0,37.57,113,13.66,96,10.49,4,1.84,2,0,380
97,No,No,0,25.77,96,13.21,112,10.8,4,3.97,1,0,382
84,No,No,0,27.12,90,21,82,8.46,4,1.94,2,0,385
137,No,No,0,39.13,79,18.73,111,9.21,7,2.89,4,0,386
85,No,No,0,17.34,139,22.97,105,6.67,3,2.89,1,0,389
150,No,No,0,21.42,73,20.27,100,12.83,6,2.75,3,0,390
43,No,No,0,28.63,89,20.72,102,9.66,2,3,1,0,391
35,No,No,0,17.95,129,21.95,77,9.59,3,2.35,0,0,392
112,No,No,0,36.91,100,17.44,91,8.36,3,2.54,2,0,394
16,No,No,0,39.03,108,17.48,91,7.48,2,2.92,0,1,395
84,No,No,0,23.56,93,16.92,137,9.18,4,2.11,0,0,397
84,No,No,0,30.86,112,11.11,118,8.39,4,2.3,1,0,399
66,No,No,0,28.44,68,19.55,118,8.63,5,2.86,1,1,400
98,No,Yes,31,20.57,98,18.61,110,10.2,1,3.24,1,0,401
74,No,No,0,37.59,94,9.42,112,10.8,3,2.86,0,0,402
96,No,Yes,26,24.79,89,16.34,96,7.43,2,2.67,1,0,403
119,No,No,0,37.88,107,13.87,112,7.23,6,3.02,1,0,404
73,No,No,0,31.18,115,20.57,100,9.06,3,2.03,4,0,405
21,No,No,0,24.82,79,9.32,108,11.13,7,1.84,0,0,407
122,No,No,0,26.71,122,15.72,59,8.87,5,2.3,4,1,408
145,No,No,0,31.94,117,16.75,108,7.52,4,1.3,2,0,410
25,No,No,0,30.4,72,12,99,9.14,5,2.27,2,0,411
64,No,No,0,16.52,90,15.83,92,8.5,6,2.81,2,0,412
85,No,No,0,44.17,117,20.6,72,7.6,1,1.46,0,0,413
126,No,No,0,43.61,90,16.96,122,8.47,5,1.89,3,0,414
76,No,No,0,28.82,87,10.54,92,9.87,3,2.7,0,0,415
117,No,No,0,40.78,106,14.86,93,9.43,2,2.65,0,0,418
128,No,Yes,34,24.19,79,16.56,81,10.77,6,4.32,1,0,419
141,No,Yes,28,35.17,126,22.47,124,7.73,11,2.51,2,0,421
100,No,No,0,34.65,76,24.06,83,8.88,3,3.38,0,0,423
112,No,Yes,16,37.67,123,11.07,108,9,3,3.05,1,0,425
163,No,No,0,20.81,108,9.64,97,8.11,7,3.38,1,0,427
67,No,Yes,40,17.83,93,18.39,128,9.78,9,2.59,1,0,428
140,No,No,0,29.44,106,16.73,128,9.42,5,3.02,3,0,429
46,No,No,0,42.55,90,22.15,104,8.78,2,3.59,2,1,431
148,No,No,0,30.31,110,24.02,98,8.15,4,3.08,1,0,432
112,No,No,0,41.38,97,15.48,94,11.66,2,3.46,1,0,433
78,No,No,0,26.35,101,14.9,125,7,5,3.19,2,0,434
58,No,Yes,29,40.87,91,10.11,108,7.39,3,3.02,1,0,436
155,No,No,0,32.35,96,25.61,134,9.66,3,2.16,1,0,437
100,No,No,0,47.26,74,15.02,126,9.88,4,2.24,0,1,438
81,No,No,0,26.1,102,16.8,86,8.93,2,1.7,2,0,440
135,No,Yes,27,46.48,99,13.09,112,11.06,6,3.32,1,0,441
99,No,No,0,26.4,95,22.58,67,6.56,4,3.35,0,0,442
59,No,Yes,29,22.63,82,18.8,103,5.92,3,1.84,1,0,443
135,No,No,0,41.96,121,15.96,109,6.95,5,3.4,1,0,444
70,No,No,0,10.12,106,21.86,86,9.37,6,3,0,0,446
88,No,No,0,23.51,138,20.06,110,8.06,4,2.59,3,0,447
55,No,No,0,48.74,121,11.42,122,8.68,5,1.86,2,0,448
75,No,No,0,19.94,61,17.09,82,4.86,3,3.29,1,0,449
79,No,Yes,21,44.93,118,17.24,92,7.8,3,1.7,4,0,450
85,No,No,0,21.74,124,23.05,76,9.1,5,3.38,0,0,451
86,No,Yes,23,38.34,105,20.94,81,11.06,2,2.65,0,0,452
91,No,No,0,25.33,105,20.85,94,11.7,3,2.24,0,0,453
149,No,Yes,20,33.81,88,23.29,76,8.58,9,3.86,1,0,454
97,No,No,0,43.59,100,23.28,101,10.02,1,3,1,1,455
88,No,No,0,45.02,112,20.86,115,7.22,2,4,1,1,456
60,No,No,0,16.69,69,15.34,69,10.06,2,2.51,2,0,457
54,No,No,0,27.17,64,22.44,70,5.21,7,2.62,2,0,458
109,No,No,0,31.28,119,10.23,86,6.92,3,2.97,0,0,460
90,No,No,0,44.51,104,18.75,91,6.15,5,2.59,1,0,461
115,No,No,0,25.14,117,19.41,90,13.49,9,2.59,3,0,462
144,No,Yes,18,18.09,113,9.19,111,9.38,5,2.73,1,0,463
91,No,No,0,22.73,87,16.6,89,12.62,2,1.59,0,0,464
105,No,Yes,23,32.9,90,18.72,111,12.26,5,2.3,0,0,465
132,No,Yes,36,38.45,125,15.44,102,11.65,5,2.84,3,1,467
112,No,No,0,28.97,71,17.02,100,11.62,4,3.13,1,0,468
44,No,No,0,40.85,83,13.99,106,10.83,2,2.86,1,0,471
78,No,No,0,12.75,87,21.14,83,7.92,6,2.57,3,0,472
72,No,Yes,33,16.42,98,26.81,117,7.35,4,1.67,4,1,474
139,No,Yes,20,36.48,132,19.98,132,7.33,12,4,0,0,475
50,No,No,0,43.88,106,13.72,110,10.13,5,3.16,1,0,477
141,No,Yes,23,25.45,118,13.81,115,9.91,2,2.05,3,0,478
140,No,No,0,25.47,98,13.97,124,13.26,2,2.19,1,0,479
99,No,No,0,32.37,107,13.44,92,12.22,4,3.02,2,0,480
166,No,No,0,30.84,54,21.57,94,5.05,6,3.13,1,0,481
124,No,No,0,25.69,104,15.93,93,11.49,3,1.43,1,0,482
74,No,No,0,26.47,63,14.76,97,11.58,4,2.19,0,0,483
117,No,No,0,25.48,110,21.77,92,9.57,13,3.59,2,0,484
85,No,No,0,37.79,101,19.68,75,10.06,2,2.97,3,0,485
36,No,Yes,16,25.4,113,11.2,87,5.97,2,1.81,0,0,486
76,No,No,0,34.71,139,24.87,105,10.99,2,2.84,0,0,488
130,No,No,0,25.57,99,19.59,76,8.38,4,3.32,1,0,490
78,No,No,0,35.51,132,21.45,120,12.61,7,3.46,0,0,491
18,No,No,0,46.51,116,9.74,120,11.28,4,2.21,1,0,495
93,No,Yes,36,30.38,102,15.18,82,5.71,4,2.16,2,0,497
144,No,No,0,30.18,75,24.43,118,8.12,3,3.21,2,0,498
126,No,Yes,23,19.43,103,16.18,111,10.82,7,3.4,3,0,501
124,No,Yes,28,42.74,89,19.13,121,11.34,5,2.03,1,0,502
80,No,No,0,35.07,98,13.17,82,11.86,12,3.35,0,0,505
41,No,No,0,27.08,75,10.7,76,11.79,5,3,1,0,506
